parkunit,official_website,alltrails_website
grsa,https://www.nps.gov/grsa/index.htm,https://www.alltrails.com/parks/us/colorado/great-sand-dunes-national-park-and-preserve
grsm,https://www.nps.gov/grsm/index.htm,https://www.alltrails.com/parks/us/tennessee/great-smoky-mountains-national-park
gumo,https://www.nps.gov/gumo/index.htm,https://www.alltrails.com/parks/us/texas/guadalupe-mountains-national-park
hale,https://www.nps.gov/hale/index.htm,https://www.alltrails.com/parks/us/hawaii/haleakala-national-park
havo,https://www.nps.gov/havo/index.htm,https://www.alltrails.com/parks/us/hawaii/hawaii-volcanoes-national-park
hosp,https://www.nps.gov/hosp/index.htm,https://www.alltrails.com/parks/us/arkansas/hot-springs-national-park
indu,https://www.nps.gov/indu/index.htm,https://www.alltrails.com/parks/us/indiana/indiana-dunes-national-park
isro,https://www.nps.gov/isro/index.htm,https://www.alltrails.com/parks/us/michigan/isle-royale-national-park
jotr,https://www.nps.gov/jotr/index.htm,https://www.alltrails.com/parks/us/california/joshua-tree-national-park
katm,https://www.nps.gov/katm/index.htm,https://www.alltrails.com/parks/us/alaska/katmai-national-park-2
kefj,https://www.nps.gov/kefj/index.htm,https://www.alltrails.com/parks/us/alaska/kenai-fjords-national-park
kica,https://www.nps.gov/kica/index.htm,https://www.alltrails.com/parks/us/california/kings-canyon-national-park
kova,https://www.nps.gov/kova/index.htm,https://www.alltrails.com/parks/us/alaska/kobuk-valley-national-park
lacl,https://www.nps.gov/lacl/index.htm,https://www.alltrails.com/explore/parks/us/alaska/lake-clark-national-park-and-preserve
lavo,https://www.nps.gov/lavo/index.htm,https://www.alltrails.com/parks/us/california/lassen-volcanic-national-park
maca,https://www.nps.gov/maca/index.htm,https://www.alltrails.com/parks/us/kentucky/mammoth-cave-national-park
meve,https://www.nps.gov/meve/index.htm,https://www.alltrails.com/parks/us/colorado/mesa-verde-national-park
mora,https://www.nps.gov/mora/index.htm,https://www.alltrails.com/parks/us/washington/mount-rainier-national-park
noca,https://www.nps.gov/noca/index.htm,https://www.alltrails.com/parks/us/washington/north-cascades-national-park
olym,https://www.nps.gov/olym/index.htm,https://www.alltrails.com/parks/us/washington/olympic-national-park
pefo,https://www.nps.gov/pefo/index.htm,https://www.alltrails.com/parks/us/arizona/petrified-forest-national-park
pinn,https://www.nps.gov/pinn/index.htm,https://www.alltrails.com/parks/us/california/pinnacles-national-park
redw,https://www.nps.gov/redw/index.htm,https://www.alltrails.com/parks/us/california/redwood-national-and-state-parks
romo,https://www.nps.gov/romo/index.htm,https://www.alltrails.com/parks/us/colorado/rocky-mountain-national-park
sagu,https://www.nps.gov/sagu/index.htm,https://www.alltrails.com/parks/us/arizona/saguaro-national-park
sequ,https://www.nps.gov/sequ/index.htm,https://www.alltrails.com/parks/us/california/sequoia-national-park
shen,https://www.nps.gov/shen/index.htm,https://www.alltrails.com/parks/us/virginia/shenandoah-national-park
thro,https://www.nps.gov/thro/index.htm,https://www.alltrails.com/parks/us/north-dakota/theodore-roosevelt-national-park
viis,https://www.nps.gov/viis/index.htm,https://www.alltrails.com/parks/us-virgin-islands/virgin-islands-national-park
voya,https://www.nps.gov/voya/index.htm,https://www.alltrails.com/parks/us/minnesota/voyageurs-national-park
whsa,https://www.nps.gov/whsa/index.htm,https://www.alltrails.com/parks/us/new-mexico/white-sands-national-park
wica,https://www.nps.gov/wica/index.htm,https://www.alltrails.com/parks/us/south-dakota/wind-cave-national-park
wrst,https://www.nps.gov/wrst/index.htm,https://www.alltrails.com/parks/us/alaska/wrangellst-elias-national-park-and-preserve
yell,https://www.nps.gov/yell/index.htm,https://www.alltrails.com/parks/us/wyoming/yellowstone-national-park
yose,https://www.nps.gov/yose/index.htm,https://www.alltrails.com/parks/us/california/yosemite-national-park
zion,https://www.nps.gov/zion/index.htm,https://www.alltrails.com/parks/us/utah/zion-national-park
